id,label,timeset,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2,Australia,,0.1755414,0.22264904,2,0.027268991174436753,0,15,0.45378151535987854,0.9366522755927787,2.0,0.96875,0.9838709677419355,5.5138306138306135
3,Austria,,0.17758594,0.22808796,3,0.024736563137758277,0,15,0.4476190507411957,0.8790118670850632,1.0,1.0,1.0,5.178199578199577
4,Bahamas,,0.17298116,0.0,3,0.025394928378782846,0,3,0.7573099136352539,0.8747645000409247,0.0,0.0,0.0,0.0
5,Belgium,,0.0,0.23553856,3,0.012557461177155801,0,16,0.49395161867141724,0.0,1.0,1.0,1.0,0.0
6,Bermuda,,0.17735773,0.0,3,0.026125433611181546,0,6,0.7368420958518982,0.940240879522145,0.0,0.0,0.0,0.0
7,Brazil,,0.0,0.19377032,4,0.012557461177155801,0,17,0.503333330154419,0.0,2.0,0.8205128205128205,0.890625,0.0
8,Canada,,0.19443919,0.13960017,4,0.034094524690335755,0,15,0.4969758093357086,0.9381122244481435,2.0,0.7045454545454546,0.7903225806451613,7.457414807414806
9,Cayman Islands,,0.19310373,0.0,4,0.03035463196545374,0,1,0.6666666865348816,0.9374534613333712,0.0,0.0,0.0,0.0
10,Chile,,0.0,0.14177956,4,0.012557461177155801,0,18,0.48366013169288635,0.0,2.0,0.6956521739130435,0.78125,0.0
11,China,,0.17783168,0.0,2,0.0284085055147819,0,9,0.75,0.9480114361313351,0.0,0.0,0.0,0.0
12,Denmark,,0.18354483,0.22783795,4,0.024351454093476218,0,15,0.43618619441986084,0.8794985167035183,1.0,1.0,1.0,7.092882117882118
13,Finland,,0.0,0.2193686,4,0.012557461177155801,0,19,0.5566502213478088,0.0,2.0,0.9142857142857143,0.953125,0.0
14,France,,0.18941212,0.22759178,2,0.033845056741931,0,15,0.4354354441165924,0.9376255748296887,1.0,1.0,1.0,8.680183705183705
15,Germany,,0.19896068,0.0,4,0.03650377394309266,0,14,0.6699604988098145,0.9993412368852274,0.0,0.0,0.0,0.0
16,Greece,,0.0,0.031830437,4,0.012557461177155801,0,20,0.6666666865348816,0.0,2.0,0.5333333333333333,0.5625,0.0
17,Guernsey,,0.14767192,0.19937316,3,0.023468741806357756,0,15,0.5247311592102051,0.7623778003462691,2.0,0.8611111111111112,0.9193548387096774,0.7652930402930402
18,Hong Kong,,0.19333322,0.0,2,0.031908812730545355,0,13,0.709956705570221,0.998682473770455,0.0,0.0,0.0,0.0
19,Ireland,,0.18502262,0.2222659,4,0.031015309078135402,0,15,0.43888887763023376,0.9376255748296887,2.0,0.96875,0.9838709677419355,16.866802641802643
20,Isle of Man,,0.0,0.17010555,4,0.012557461177155801,0,21,0.6147186160087585,0.0,2.0,0.7619047619047619,0.84375,0.0
21,Israel,,0.17784034,0.0,3,0.02198643633392372,0,2,0.7526316046714783,0.9509698875024795,0.0,0.0,0.0,0.0
22,Japan,,0.20029615,0.0,2,0.033256614212759564,0,10,0.6195651888847351,1.0,0.0,0.0,0.0,0.0
23,Jersey,,0.15524277,0.22902536,3,0.02438103547481146,0,15,0.4679144322872162,0.8203565212848258,1.0,1.0,1.0,2.672935397935398
24,Jordan,,0.13133278,0.0,3,0.01856889639342182,0,0,0.9230769276618958,0.7753778860264252,0.0,0.0,0.0,0.0
25,Luxembourg,,0.18345323,0.2278418,3,0.030706571237976737,0,15,0.44682538509368896,0.9371389252112341,1.0,1.0,1.0,6.765501165501165
26,Macao,,0.0,0.0,0,0.012557461177155801,1,22,0.0,0.0,0.0,0.0,0.0,0.0
27,Mexico,,0.0,0.13412908,4,0.012557461177155801,0,23,0.6323529481887817,0.0,2.0,0.6808510638297872,0.765625,0.0
28,Morocco,,0.13168165,0.19151701,2,0.018918564053049487,0,15,0.5954415798187256,0.7185980450002964,2.0,0.8378378378378378,0.9032258064516129,0.3141025641025641
29,Netherlands,,0.19092557,0.0,4,0.032933372850573905,0,11,0.6688311696052551,0.9522874137320244,0.0,0.0,0.0,0.0
30,New Zealand,,0.14902265,0.0,3,0.020408637976454265,0,5,0.9208333492279053,0.8871058226063081,0.0,0.0,0.0,0.0
31,Norway,,0.18747628,0.0,4,0.02491075521002663,0,4,0.7095237970352173,0.9367946982185988,0.0,0.0,0.0,0.0
32,Qatar,,0.1050571,0.0,3,0.017325762934163116,0,7,0.9090909361839294,0.5978783309936234,0.0,0.0,0.0,0.0
33,Singapore,,0.19896068,0.0,2,0.0319893316455019,0,12,0.6699604988098145,0.9993412368852274,0.0,0.0,0.0,0.0
34,South Africa,,0.1786376,0.21067044,2,0.02361861337744564,0,15,0.4786096215248108,0.8790118670850631,2.0,0.9117647058823529,0.9516129032258065,3.672849372849373
35,South Korea,,0.17764969,0.20371144,2,0.02314056088546525,0,15,0.4905303120613098,0.9366522755927787,2.0,0.8857142857142857,0.9354838709677419,3.7597846597846605
36,Spain,,0.0,0.0,1,0.012557461177155801,2,24,0.0,0.0,0.0,0.0,0.0,0.0
37,Sweden,,0.17892377,0.22803183,4,0.027990656741692606,0,15,0.4256756901741028,0.8794985167035183,1.0,1.0,1.0,17.011532911532914
38,Switzerland,,0.18941212,0.22759178,3,0.03340198118045741,0,15,0.4354354441165924,0.9376255748296887,1.0,1.0,1.0,8.680183705183705
39,Taiwan,,0.16843107,0.22406438,2,0.024717570111346916,0,15,0.47593581676483154,0.8896661472949728,2.0,0.96875,0.9838709677419355,4.7929348429348435
40,UAE,,0.16339804,0.0,3,0.02406608628556583,0,8,0.7941176295280457,0.8885954623321701,0.0,0.0,0.0,0.0
41,UK,,0.18941212,0.22759178,3,0.038950629803475044,0,15,0.4354354441165924,0.9376255748296887,1.0,1.0,1.0,8.680183705183705
42,US,,0.19014585,0.21010242,4,0.038234008578314514,0,15,0.46554622054100037,0.9376255748296887,2.0,0.9117647058823529,0.9516129032258065,6.095385170385171
